Customer_ID,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Credit_Utilization_Ratio,Num_of_Delayed_Payment,Changed_Credit_Limit,Credit_Mix
CUS_0x2dbc,12187.22,1,5,31.8198454322581,5,7.1,2
CUS_0x3434,1581.3675,7,6,37.1767456734432,24,1.2,0
CUS_0x2816,4940.0725,7,5,26.5126996538503,19,3.92,0
CUS_0x4079,1600.83416666667,9,6,25.6100782630601,12,16.95,1
CUS_0x396e,2372.34083333333,4,5,24.6920577838609,17,4.1,1
CUS_0xc30b,7671.25073374555,1,1,26.4940687521195,12,1.16,2
CUS_0x47d5,576.98875,9,6,29.8912610464778,27,20.95,0
CUS_0x7595,3867.96583333333,4,4,25.5599642807243,14,5.39,2
CUS_0x6883,2236.265,4,4,29.8408997589419,8,6.87,2
CUS_0x6e64,3427.37416666667,0,4,32.9702856010822,4,4.5,2
CUS_0x32a5,1530.80037318575,4,6,30.8073965532705,13,19.68,1
CUS_0xc420,3048.0575,3,6,31.2297079953879,17,8.23,1
CUS_0x71ab,662.202916666667,8,5,34.0130331337109,16,8.72,1
CUS_0x75c6,7489.97333333333,2,6,32.8539996806142,5,10.98,2
CUS_0x2798,3567.83833333333,7,7,26.2569236642445,13,16.43,1
CUS_0x7a8,1656.30083333333,4,5,38.8366576214977,10,7.64,2
CUS_0x2dfd,2624.97083333333,5,1,26.1158702071368,0,11.61,2
CUS_0x4c84,1268.39717100668,3,5,37.4934215773885,13,9.5,1
CUS_0xa88,7959.13,8,5,27.3998713634474,10,1.2,1
CUS_0x3b4c,2734.5425,3,7,36.4058495094535,19,15.86,1
CUS_0x9be5,1217.84333333333,3,7,30.3690812768136,2,7.57,2
CUS_0x56f,4006.44,6,4,34.1763295769995,19,1.57,2
CUS_0x6bd8,7363.8325,0,2,26.7327042325407,2,2.25,2
CUS_0x2671,7737.19,5,4,25.9190729084157,18,8.34,1
CUS_0x1890,1473.27333333333,7,6,28.6288478113948,28,30.59,0
CUS_0xbfdb,3130.68333333333,0,3,26.3607395386521,12,10.63,2
CUS_0x4c80,2836.695,5,2,40.6232789222902,12,8.88,2
CUS_0x3a3b,9672.045,2,3,33.1401545238847,6,3.43,2
CUS_0x53cc,12351.3166666667,5,5,43.8298640010133,19,11.47,1
CUS_0x829a,13484.86,4,1,30.7365112753626,12,1.61,2
CUS_0xa301,5454.51833333333,5,7,35.2909906405142,15,12.25,1
